poradi;verze;jmeno;Hrano;;;;;Vyhralo;;;;;Sila
888;I;reedbuyer;715;/;2853;=;25,1%;124;/;714;=;17,4%;0,6
889;K;pigwhisperer;493;/;2907;=;17,0%;123;/;490;=;25,1%;0,6
890;O;therapist;25;/;111;=;22,5%;5;/;25;=;20,0%;0,6
891;E;plane;497;/;3195;=;15,6%;133;/;497;=;26,8%;0,6
892;Z;scarecrow;13;/;127;=;10,2%;5;/;13;=;38,5%;0,6
893;G;scythe;147;/;591;=;24,9%;26;/;144;=;18,1%;0,6
894;E;spindle;610;/;3208;=;19,0%;132;/;610;=;21,6%;0,6
895;I;tavern;421;/;3076;=;13,7%;122;/;421;=;29,0%;0,6
896;G;touristfarm;107;/;619;=;17,3%;24;/;107;=;22,4%;0,6
897;I;weeklymarket;383;/;3150;=;12,2%;124;/;383;=;32,4%;0,6
879;WM;FriendlyPastures;659;/;3050;=;21,6%;120;/;659;=;18,2%;0,6
898;FR;AwardWinner;68;/;260;=;26,2%;11;/;68;=;16,2%;0,6
899;NL;GrainReaper;21;/;76;=;27,6%;3;/;21;=;14,3%;0,6
900;WA;SeedScatterer;15;/;94;=;16,0%;4;/;15;=;26,7%;0,6
901;FR;Musketeer;45;/;237;=;19,0%;10;/;45;=;22,2%;0,6
905;K;brewery;455;/;3224;=;14,1%;121;/;454;=;26,7%;0,5
906;E;clayfirer;344;/;2814;=;12,2%;97;/;343;=;28,3%;0,5
904;WA;HoveringStone;9;/;92;=;9,8%;3;/;9;=;33,3%;0,5
907;K;flail;551;/;3297;=;16,7%;104;/;551;=;18,9%;0,5
908;G;carrotcakebaker;78;/;530;=;14,7%;18;/;78;=;23,1%;0,5
909;G;pearlseeker;119;/;506;=;23,5%;17;/;118;=;14,4%;0,5
910;G;vegetarian;66;/;585;=;11,3%;20;/;66;=;30,3%;0,5
911;G;auctioneer;45;/;565;=;8,0%;18;/;45;=;40,0%;0,5
912;G;ringmaster;102;/;537;=;19,0%;17;/;102;=;16,7%;0,5
913;I;cornprofiteer;348;/;2811;=;12,4%;105;/;348;=;30,2%;0,5
914;K;framebuilder;451;/;2881;=;15,7%;100;/;449;=;22,3%;0,5
915;K;slaughterman;431;/;2940;=;14,7%;100;/;431;=;23,2%;0,5
916;K;basinmaker;282;/;2863;=;9,8%;94;/;281;=;33,5%;0,5
917;I;threshingboard;455;/;3064;=;14,8%;103;/;455;=;22,6%;0,5
902;WM;AnimalNursery;469;/;2937;=;16,0%;96;/;468;=;20,5%;0,5
903;WM;EdibleRoots;429;/;3041;=;14,1%;116;/;429;=;27,0%;0,5
918;WA;BigBangTheorist;8;/;90;=;8,9%;3;/;8;=;37,5%;0,5
919;WA;FounderoftheOrder;14;/;94;=;14,9%;3;/;14;=;21,4%;0,5
920;WA;Songwriter;29;/;80;=;36,3%;3;/;29;=;10,3%;0,5
921;NL;PancakePan;8;/;64;=;12,5%;2;/;8;=;25,0%;0,4
922;E;butterchurn;385;/;3188;=;12,1%;78;/;384;=;20,3%;0,4
923;K;clapper;405;/;3237;=;12,5%;97;/;404;=;24,0%;0,4
924;E;dockworker;215;/;2867;=;7,5%;79;/;214;=;36,9%;0,4
925;E;meatseller;462;/;2863;=;16,1%;88;/;459;=;19,2%;0,4
926;E;animalkeeper;346;/;2732;=;12,7%;81;/;345;=;23,5%;0,4
927;G;gardeningtools;78;/;627;=;12,4%;17;/;78;=;21,8%;0,4
928;I;sheepwhisperer;317;/;2777;=;11,4%;79;/;317;=;24,9%;0,4
929;K;veterinarian;303;/;2912;=;10,4%;82;/;303;=;27,1%;0,4
930;K;weaver;310;/;2933;=;10,6%;75;/;310;=;24,2%;0,4
931;FL;FryCook;9;/;71;=;12,7%;2;/;9;=;22,2%;0,4
932;NL;Maidservant;21;/;77;=;27,3%;2;/;21;=;9,5%;0,4
